message_id,qid,cid,feat,value,group_norm
15,0,1,AUXVERB,6,0.1875
15,0,1,FEEL,4,0.125
15,0,1,MOTION,1,0.03125
15,0,1,ANGER,1,0.03125
15,0,1,PERCEPT,4,0.125
15,0,1,PREP,3,0.09375
15,0,1,DISCREP,3,0.09375
15,0,1,PPRON,7,0.21875
15,0,1,RELATIV,1,0.03125
15,0,1,ADJ,1,0.03125
15,0,1,COMPARE,2,0.0625
15,0,1,COGPROC,6,0.1875
15,0,1,SAD,1,0.03125
15,0,1,CONJ,3,0.09375
15,0,1,_intercept,1,1.0
16,0,1,AFFECT,3,0.09375
16,0,1,ADVERB,1,0.03125
16,0,1,FOCUSPAST,2,0.0625
16,0,1,PRONOUN,7,0.21875
16,0,1,FUNCTION,20,0.625
16,0,1,NEGEMO,3,0.09375
16,0,1,RISK,1,0.03125
16,0,1,DRIVES,2,0.0625
16,0,1,VERB,10,0.3125
16,0,1,POWER,1,0.03125
16,0,1,FOCUSPRESENT,3,0.09375
16,0,1,I,7,0.21875
16,0,1,INSIGHT,3,0.09375
16,0,1,AUXVERB,6,0.1875
16,0,1,FEEL,4,0.125
16,0,1,MOTION,1,0.03125
16,0,1,ANGER,1,0.03125
16,0,1,PERCEPT,4,0.125
16,0,1,PREP,3,0.09375
16,0,1,DISCREP,3,0.09375
16,0,1,PPRON,7,0.21875
16,0,1,RELATIV,1,0.03125
16,0,1,ADJ,1,0.03125
16,0,1,COMPARE,2,0.0625
16,0,1,COGPROC,6,0.1875
16,0,1,SAD,1,0.03125
16,0,1,CONJ,3,0.09375
16,0,1,_intercept,1,1.0
17,0,2,CAUSE,2,0.0588235294117648
17,0,2,AFFECT,2,0.0588235294117648
17,0,2,ADVERB,2,0.0588235294117648
17,0,2,FOCUSPAST,3,0.0882352941176471
17,0,2,PRONOUN,6,0.176470588235294
17,0,2,SPACE,1,0.0294117647058824
17,0,2,FUNCTION,22,0.647058823529412
17,0,2,NEGEMO,2,0.0588235294117648
17,0,2,DIFFER,1,0.0294117647058824
17,0,2,DRIVES,3,0.0882352941176472
17,0,2,VERB,12,0.352941176470588
17,0,2,POWER,3,0.0882352941176472
17,0,2,FOCUSPRESENT,4,0.11764705882353
17,0,2,I,6,0.176470588235294
17,0,2,INSIGHT,4,0.11764705882353
17,0,2,AUXVERB,9,0.264705882352941
17,0,2,FEEL,4,0.11764705882353
17,0,2,PREP,3,0.0882352941176471
17,0,2,ANGER,1,0.0294117647058824
17,0,2,NEGATE,1,0.0294117647058824
17,0,2,PERCEPT,5,0.147058823529412
17,0,2,INTERROG,1,0.0294117647058824
17,0,2,DISCREP,3,0.0882352941176471
17,0,2,PPRON,6,0.176470588235294
17,0,2,RELATIV,1,0.0294117647058824
17,0,2,ADJ,1,0.0294117647058824
17,0,2,COMPARE,2,0.0588235294117647
17,0,2,COGPROC,10,0.294117647058824
17,0,2,SAD,1,0.0294117647058824
17,0,2,CONJ,3,0.0882352941176471
17,0,2,_intercept,1,1.0
18,0,2,AFFECT,4,0.114285714285714
18,0,2,PPRON,5,0.142857142857143
18,0,2,FOCUSPAST,4,0.114285714285714
18,0,2,PRONOUN,7,0.2
18,0,2,FUNCTION,22,0.628571428571428
18,0,2,NEGEMO,3,0.0857142857142858
18,0,2,DRIVES,1,0.0285714285714286
18,0,2,ADVERB,1,0.0285714285714286
18,0,2,CONJ,2,0.0571428571428571
18,0,2,INTERROG,1,0.0285714285714286
18,0,2,DIFFER,1,0.0285714285714286
